GEO,COICOP,TIME,VALUE
EE,CP00,2005-11-01,4.0
EE,CP00,2005-12-01,3.7
EE,CP00,2006-01-01,4.6
EE,CP00,2006-02-01,4.5
EE,CP00,2006-03-01,4.0
EE,CP00,2006-04-01,4.3
EE,CP00,2006-05-01,4.6
EE,CP00,2006-06-01,4.4
EE,CP00,2006-07-01,4.5
EE,CP00,2006-08-01,5.0
EE,CP00,2006-09-01,3.8
EE,CP00,2006-10-01,3.8
EE,CP00,2006-11-01,4.6
EE,CP00,2006-12-01,5.1
EE,CP00,2007-01-01,5.0
EE,CP00,2007-02-01,4.6
EE,CP00,2007-03-01,5.6
EE,CP00,2007-04-01,5.6
EE,CP00,2007-05-01,5.9
EE,CP00,2007-06-01,6.0
EE,CP00,2007-07-01,6.5
EE,CP00,2007-08-01,6.1
EE,CP00,2007-09-01,7.5
EE,CP00,2007-10-01,8.7
EE,CP00,2007-11-01,9.3
EE,CP00,2007-12-01,9.7
EE,CP00,2008-01-01,11.3
EE,CP00,2008-02-01,11.5
EE,CP00,2008-03-01,11.2
EE,CP00,2008-04-01,11.6
EE,CP00,2008-05-01,11.4
EE,CP00,2008-06-01,11.5
EE,CP00,2008-07-01,11.2
EE,CP00,2008-08-01,11.1
EE,CP00,2008-09-01,10.8
EE,CP00,2008-10-01,10.1
EE,CP00,2008-11-01,8.5
EE,CP00,2008-12-01,7.5
EE,CP00,2009-01-01,4.7
EE,CP00,2009-02-01,3.9
EE,CP00,2009-03-01,2.5
EE,CP00,2009-04-01,0.9
EE,CP00,2009-05-01,0.3
EE,CP00,2009-06-01,-0.5
EE,CP00,2009-07-01,-0.4
EE,CP00,2009-08-01,-0.7
EE,CP00,2009-09-01,-1.7
EE,CP00,2009-10-01,-2.1
EE,CP00,2009-11-01,-2.1
EE,CP00,2009-12-01,-1.9
EE,CP00,2010-01-01,-1.0
EE,CP00,2010-02-01,-0.3
EE,CP00,2010-03-01,1.4
EE,CP00,2010-04-01,2.5
EE,CP00,2010-05-01,2.8
EE,CP00,2010-06-01,3.4
EE,CP00,2010-07-01,2.7
EE,CP00,2010-08-01,2.8
