GEO,LANGUAGE,QOUTE,TIME,VALUE
BE,nl,inflatie,2025-07-01,32
BE,nl,inflatie,2025-08-01,41
BE,nl,inflatie,2025-09-01,44
BE,nl,inflatie,2025-10-01,46
BE,nl,inflatie,2025-11-01,53
BE,nl,inflatie,2025-12-01,49
BE,nl,inflatie,2026-01-01,61
BE,nl,inflatie,2026-02-01,37
BE,fr,inflation,2014-01-01,19
BE,fr,inflation,2014-02-01,14
BE,fr,inflation,2014-03-01,15
BE,fr,inflation,2014-04-01,18
BE,fr,inflation,2014-05-01,15
BE,fr,inflation,2014-06-01,17
BE,fr,inflation,2014-07-01,12
BE,fr,inflation,2014-08-01,15
BE,fr,inflation,2014-09-01,13
BE,fr,inflation,2014-10-01,15
BE,fr,inflation,2014-11-01,19
BE,fr,inflation,2014-12-01,17
BE,fr,inflation,2015-01-01,23
BE,fr,inflation,2015-02-01,19
BE,fr,inflation,2015-03-01,18
BE,fr,inflation,2015-04-01,20
BE,fr,inflation,2015-05-01,14
BE,fr,inflation,2015-06-01,16
BE,fr,inflation,2015-07-01,11
BE,fr,inflation,2015-08-01,12
BE,fr,inflation,2015-09-01,12
BE,fr,inflation,2015-10-01,13
BE,fr,inflation,2015-11-01,16
BE,fr,inflation,2015-12-01,16
BE,fr,inflation,2016-01-01,17
BE,fr,inflation,2016-02-01,12
BE,fr,inflation,2016-03-01,15
BE,fr,inflation,2016-04-01,15
BE,fr,inflation,2016-05-01,16
BE,fr,inflation,2016-06-01,15
BE,fr,inflation,2016-07-01,10
BE,fr,inflation,2016-08-01,12
BE,fr,inflation,2016-09-01,14
BE,fr,inflation,2016-10-01,15
BE,fr,inflation,2016-11-01,16
BE,fr,inflation,2016-12-01,15
BE,fr,inflation,2017-01-01,18
BE,fr,inflation,2017-02-01,15
BE,fr,inflation,2017-03-01,16
BE,fr,inflation,2017-04-01,14
BE,fr,inflation,2017-05-01,17
BE,fr,inflation,2017-06-01,17
BE,fr,inflation,2017-07-01,9
BE,fr,inflation,2017-08-01,13
BE,fr,inflation,2017-09-01,11
BE,fr,inflation,2017-10-01,13
BE,fr,inflation,2017-11-01,16
BE,fr,inflation,2017-12-01,15
BE,fr,inflation,2018-01-01,17
BE,fr,inflation,2018-02-01,15
BE,fr,inflation,2018-03-01,13
BE,fr,inflation,2018-04-01,13
BE,fr,inflation,2018-05-01,15
BE,fr,inflation,2018-06-01,12
BE,fr,inflation,2018-07-01,10
BE,fr,inflation,2018-08-01,14
BE,fr,inflation,2018-09-01,13
BE,fr,inflation,2018-10-01,14
BE,fr,inflation,2018-11-01,18
BE,fr,inflation,2018-12-01,13
BE,fr,inflation,2019-01-01,16
BE,fr,inflation,2019-02-01,16
BE,fr,inflation,2019-03-01,12
BE,fr,inflation,2019-04-01,12
BE,fr,inflation,2019-05-01,15
BE,fr,inflation,2019-06-01,14
BE,fr,inflation,2019-07-01,10
BE,fr,inflation,2019-08-01,12
BE,fr,inflation,2019-09-01,13
BE,fr,inflation,2019-10-01,12
BE,fr,inflation,2019-11-01,12
BE,fr,inflation,2019-12-01,13
BE,fr,inflation,2020-01-01,13
BE,fr,inflation,2020-02-01,11
BE,fr,inflation,2020-03-01,15
BE,fr,inflation,2020-04-01,18
BE,fr,inflation,2020-05-01,17
BE,fr,inflation,2020-06-01,16
BE,fr,inflation,2020-07-01,11
BE,fr,inflation,2020-08-01,14
BE,fr,inflation,2020-09-01,13
BE,fr,inflation,2020-10-01,15
BE,fr,inflation,2020-11-01,14
BE,fr,inflation,2020-12-01,17
BE,fr,inflation,2021-01-01,21
BE,fr,inflation,2021-02-01,17
BE,fr,inflation,2021-03-01,21
BE,fr,inflation,2021-04-01,18
BE,fr,inflation,2021-05-01,22
BE,fr,inflation,2021-06-01,19
BE,fr,inflation,2021-07-01,15
BE,fr,inflation,2021-08-01,16
BE,fr,inflation,2021-09-01,21
BE,fr,inflation,2021-10-01,28
BE,fr,inflation,2021-11-01,33
BE,fr,inflation,2021-12-01,36
BE,fr,inflation,2022-01-01,46
BE,fr,inflation,2022-02-01,41
BE,fr,inflation,2022-03-01,46
BE,fr,inflation,2022-04-01,48
